"No","Comment"
91,"Nah ini menarik nih! tadinya mau gw masukkin, cuma karena game dengan genre metroidvania banyak yang oke, kayanya lebih cocok gw buatin video sendiri nanti  Stay tuned yaa dan makasi juga udah mampir & support bro"
92,"Re4remik"
93,"Betul! sebenernya banyak banget sih yang bisa masuk, ditunggu part selanjutnya yaa! makasi udah mampir & support"
94,"Ff 7 remake juga bang klo main quest doang 20an jam"
95,"Betul banget! FF7 Remake emang padet banget ceritanya. Cocok nih untuk masuk ke part 2-nya, ditunggu aja ya Makasih banyak udah mampir dan support ya bro"
96,"Aku lebih demen game yg tamat kisaran 15 sama 25 jam mentok di 30 jamlah, kalo dah 35 keatas beuh capek dan juga aku suka cerita yg cukus fast pace. Tapi untuk beberapa game rule ini gak berlaku seperti persona series khususnya Persona 3."
97,"30 jam harusnya optimal sih, puasnya dapet & ga terlalu cape buat diikutin ️ wah jujur gw belom pernah main Persona Series, selain entry-nya udah banyak terus panjang2 juga jadi butuh waktu. mungkin kedepan bakal icip2 sih"
98,"Mantap, gua persona 5 kisaran 70 jam playtime gak terasa banget, tp gua main saat belum menikah. Skrg udah nikah agak jarang maen ps tp masih bisa lah 1-2 jam sekali main"
99,"Menurut gw penulisan & pembawaan lu udh keren bgt nih bang, tapi kenapa list game di konten ini rata2 sequel nya dari game tsb.
contoh kaya spiderman 2, buat org yg gk ngikutin komik nya pasti binggung siapa itu miles morales dan kenapa dia bisa jadi spiderman ?
minimal main spiderman remastered dulu karna di situ kan di ceritain jg si miles itu siapa, bahkan itu ada di main story nya.
nah kenapa yg di masukin list tuh bukan series pertama nya ? kan padahal spiderman remastered itu bisa ditamatin di 14-17 jam kalo fokus main story aja.

hampir semua dari list game di konten ini udh gw mainin kecuali metro exodus, gaiden & madmax. dan gw sejutu kalo dari segi gameplay & story emg bagus.
gw paham konten ini di buat untuk org yg punya waktu sedikit buat main game, tapi menurut gw agak binggungin aja kalo tiba2 main sequel nya.
ini semua preferensi gw aja ya bang, mungkin org lain bisa nikmatin gamenya dengan cara skip langsung main sequel nya aja.
udh sih gitu aja, semoga channel lu makin berkembang kedepannya !"
100,"Makasih banyak udah nulis panjang dan jelas banget, bro. Gw apresiasi banget insight-nya!

Bener sih, beberapa game emang sequel, dan gw sepenuhnya ngerti kalau ada yang prefer mulai dari awal, biar bisa lebih ngerti story atau karakter, terutama buat yang nggak ngikutin komiknya kayak contoh Miles di Spider-Man 2.

Konsep videonya waktu itu emang fokus ke pengalaman padat dan berkesan (yang bisa tamat 20 jam atau kurang), jadi gw masukin game-game yang menurut gw paling impactful meskipun ada juga yang sequel. Tapi valid banget poin lo soal preferensi main dari awal.

Thanks juga udah nonton dan ninggalin komentar detil kayak gini. Semoga ke depan konten-konten MainQuest makin relevan dan bisa nyambung ke lebih banyak gamer ️"
101,"Apa game farcy series termasuk"
102,"Far Cry ada beberapa tapi ga semuanya pendek. Stay tuned yaa, siapa tau ada di next part"
103,"video sepadat ini kok sepi bang"
104,"Makasih udah nonton & support, bro  Memang lagi eksperimen format & timing. Semoga video ini bisa pelan-pelan ketemu penontonnya"
105,"gw lgi mainin Assassins Creed : Odyssey udah merasa mau bosen pngen gw stop cuma udah jauh mainin nya"
106,"wkwkwkwk sama jirr, punya gw belum gw sentuh lagi odyssey, malah mainin RDR2  Btw, makasi udah mampir & support yaa!"
107,"​ @MainQuestID RDR 2 udah tamat gweh bang. itu juga marathon mainin nya"
108,"Siapa yg main the witcher 3 cuman 100 jam? 

Gw aja ngabisin 1000 jam main itu.. kok sayang banget cuman 100 jam?"
109,"Kayanya jarang deh ada yang main Witcher 3 100 jam doang"
110,"gw main W3 + DLC HoS BaW deathmarch. 100% achievement. 120jam. no skip2 no guide, good ending 1st try. 
habis tu ga main lagi tapi masih sering nonton di youtube kalo kangen, emang well crafted bgt."
111,"@Rcck.7282  Sepakat! gw aja masih sering nonton channelnya xLetalis, dia nemu aja hal2 baru dari lorenya"
112,"0:15 itu Kung lao apa nama game nya ya"
113,"Mortal Kombat itu brok!"
114,"Game nya ada di play store??"
115,"Ini game pc/laptop bro jadi ga ada di playstore, mayoritas adanya di steam ya"
116,"Game PC?"
117,"betul bro ahmad"
118,"Lebih suka game2 dengan playtime panjang asal ga repetitif, jadi gameplaynya konten yang disediakan banyak & banyak collectible item yang bisa dicari disepanjang maps & banyak easter egg atau misteri yang bisa dipecahkan & unlock sesuatu, dijamin ga bakal bosen main dan nagih"
119,"Red Dead Redemption dan Monster Hunter Series Paling Seru dan Asyik For Me Really Really 100 Ours."
